id,clip,metric,note,browser,sports2d,delta,agree
01,advice-720p.mp4,측정 품질,"브라우저: 착지 간격으로 보면 약 2회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다. · Sports2D: 착지 간격으로 보면 약 6회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다.",측정 오차 큼,측정 오차 큼,같음,True
01,advice-720p.mp4,추적된 프레임,표본 크기라 값 비교가 아닙니다,360/360,289/360,—,True
01,advice-720p.mp4,착지 수,,25회,27회,+2회,False
01,advice-720p.mp4,짝지어진 착지,접촉 시각이 80ms 안이면 같은 착지로 봅니다,23쌍,23쌍,한쪽만 6회,True
01,advice-720p.mp4,주법 일치,,판정 불가 25,판정 불가 27,짝 중 23/23,True
01,advice-720p.mp4,좌우 일치,다르면 한쪽이 발을 바꿔 본 것입니다,—,—,짝 중 21/23,True
01,advice-720p.mp4,케이던스,,176 spm,223 spm,+47 spm,False
01,advice-720p.mp4,평균 발 각도,한쪽이 측정하지 못해 비교할 수 없습니다,측정 불가,측정 불가,—,True
01,advice-720p.mp4,평균 최대 반력,,2.14 BW,1.87 BW,−0.28 BW,False
01,advice-720p.mp4,평균 접지 시간,,0.267s,0.219s,−0.048s,False
01,advice-720p.mp4,평균 몸 앞 착지,한쪽이 측정하지 못해 비교할 수 없습니다,측정 불가,측정 불가,—,True
02,pace-ladder-720p.mp4,측정 품질,"브라우저: 착지 간격으로 보면 약 9회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다. · 브라우저: 선택한 촬영 배속으로는 접지·케이던스가 사람 보행 범위를 벗어납니다. 2배 슬로우로 다시 분석해 보세요. · Sports2D: 착지 23회 중 15회는 발이 땅에 붙어 있던 시간을 재지 못했습니다. 접지·체공 시간과 반력은 그만큼 거친 추정입니다. · Sports2D: 착지 간격으로 보면 약 6회를 놓친 것으로 보입니다. 전신이 계속 보이게, 같은 속도로 곧게 달리는 구간이 좋습니다.",측정 불가,측정 오차 큼,다름,True
02,pace-ladder-720p.mp4,추적된 프레임,표본 크기라 값 비교가 아닙니다,352/360,360/360,—,True
02,pace-ladder-720p.mp4,착지 수,,18회,23회,+5회,False
02,pace-ladder-720p.mp4,짝지어진 착지,접촉 시각이 80ms 안이면 같은 착지로 봅니다,6쌍,6쌍,한쪽만 29회,True
02,pace-ladder-720p.mp4,주법 일치,,판정 불가 18,미드풋 7 · 포어풋 14 · 판정 불가 2,짝 중 0/6,False
02,pace-ladder-720p.mp4,좌우 일치,다르면 한쪽이 발을 바꿔 본 것입니다,—,—,짝 중 5/6,True
02,pace-ladder-720p.mp4,케이던스,,155 spm,170 spm,+15 spm,False
02,pace-ladder-720p.mp4,평균 발 각도,한쪽이 측정하지 못해 비교할 수 없습니다,측정 불가,14.2°,—,True
